"Facility ID","Facility Name","Hospital Type","Address","City/Town","State","ZIP Code","County/Parish","Measure ID","Measure Description","Total Cases","Performance Category","Rate","Interval Lower Limit","Interval Upper Limit","Footnote","Start Date","End Date"
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,2174,Worse than the National Rate,15.9,13.5,18.6,,07/01/2022,06/30/2023
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,2174,No Different than the National Rate,5.2,4.2,6.7,,07/01/2022,06/30/2023
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-36,30-Day Unplanned Readmission for Cancer Patients,1682,No Different than the National Rate,19.6,17.8,21.3,,10/01/2021,09/30/2022
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-37,Surgical treatment complications for localized prostate cancer,44,Not Applicable,44.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1261,No Different than the National Rate,12.2,10.1,14.6,,07/01/2022,06/30/2023
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1261,Better than the National Rate,3.6,2.6,4.7,,07/01/2022,06/30/2023
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-36,30-Day Unplanned Readmission for Cancer Patients,233,No Different than the National Rate,18.6,14.0,23.2,,10/01/2021,09/30/2022
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2022
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1446,No Different than the National Rate,11.7,9.9,13.9,,07/01/2022,06/30/2023
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1446,No Different than the National Rate,5.5,4.4,7.0,,07/01/2022,06/30/2023
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-36,30-Day Unplanned Readmission for Cancer Patients,1057,No Different than the National Rate,21.9,19.4,24.4,,10/01/2021,09/30/2022
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-37,Surgical treatment complications for localized prostate cancer,37,Not Applicable,48.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2022
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,3202,No Different than the National Rate,13.0,11.1,15.1,,07/01/2022,06/30/2023
