CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit_Name,Org_Type,Referral_Appointment_Time,Part,Total_referrals,Screening_sample_total,Clinical_indication,Highgrade_mod_severe,Inadequate,Borderline_changes,Mild_dyskaryosis,Moderate_dyskaryosis,Severe_dyskaryosis,Severe_dyskaryosis_Inv,Glandular_neoplasia,Clinical_Urgent,Clinical_Non_Urgent,Other
2012-13,E92000001,England,E92000001,England,England,National,Total_cases,A,167394,125060,32803,35105,1582,43780,42898,15269,19836,540,1155,7949,24854,9531
2012-13,E92000001,England,E92000001,England,England,National,<=2_weeks,A,45589,32463,10964,16882,239,7169,6594,6713,10169,508,1071,5691,5273,2162
2012-13,E92000001,England,E92000001,England,England,National,<=4_weeks,A,108128,81439,21359,34038,769,22897,22051,14665,19373,538,1146,7334,14025,5330
2012-13,E92000001,England,E92000001,England,England,National,<=8_weeks,A,164505,123621,31629,35061,1535,43019,42312,15241,19820,540,1154,7896,23733,9255
2012-13,E92000001,England,E92000001,England,England,National,<=12_weeks,A,166701,124773,32495,35093,1566,43633,42786,15262,19831,540,1155,7928,24567,9433
2013-14,E92000001,England,E92000001,England,England,National,Total_cases,A,199322,134817,36435,37353,1473,41677,52494,15716,21637,600,1220,8931,27504,28070
2013-14,E92000001,England,E92000001,England,England,National,<=2_weeks,A,45780,30151,11484,17178,183,4978,6114,6658,10520,565,1133,6283,5201,4145
2013-14,E92000001,England,E92000001,England,England,National,<=4_weeks,A,110438,75889,21606,35703,577,17040,20766,14874,20829,593,1210,8019,13587,12943
2013-14,E92000001,England,E92000001,England,England,National,<=8_weeks,A,193611,131938,34819,37261,1390,40535,50932,15671,21590,600,1220,8840,25979,26854
2013-14,E92000001,England,E92000001,England,England,National,<=12_weeks,A,197698,134002,35965,37308,1447,41381,52046,15698,21610,600,1220,8893,27072,27731
2014-15,E92000001,England,E92000001,England,England,National,Total_cases,A,198216,132311,40041,38352,1499,37499,53010,15818,22534,594,1357,11735,28306,25864
2014-15,E92000001,England,E92000001,England,England,National,<=2_weeks,A,61320,41545,15048,25409,214,6010,8052,9326,16083,575,1285,8382,6666,4727
2014-15,E92000001,England,E92000001,England,England,National,<=4_weeks,A,120892,82203,26100,37417,639,17630,24575,15327,22090,593,1349,10555,15545,12589
