CollectionYearRange,Region_Code,Region_Name,Org_ONS_Code,Org_Name,Org_Type,Eligible_PHOF_25_64,Screened_PHOF_42_66mth,Coverage_PHOF_25_64,Eligible_PHOF_25_49,Screened_PHOF_42mth,Coverage_PHOF_25_49,Eligible_PHOF_50_64,Screened_PHOF_66mth,Coverage_PHOF_50_64
2012-13,E92000001,England,E92000001,England,National,13659868,10099268,73.93386231843529,9466983,6764953,71.4583833096563,4192885,3334315,79.52316841506504
2013-14,E92000001,England,E92000001,England,National,13954489,10348915,74.1619058927919,9627301,6914742,71.82430465194763,4327188,3434173,79.36269466452578
2014-15,E92000001,England,E92000001,England,National,14165803,10405033,73.45176973024402,9713476,6912810,71.1672114081509,4452327,3492223,78.43590553883396
2015-16,E92000001,England,E92000001,England,National,14398174,10464175,72.67709780420766,9817744,6890379,70.18291574928008,4580430,3573796,78.02315503129618
2016-17,E92000001,England,E92000001,England,National,14671118,10569162,72.04060385854712,9955943,6928519,69.59179055163332,4715175,3640643,77.21119576685913
2017-18,E92000001,England,E92000001,England,National,14933811,10665337,71.41738301094075,10088048,6970957,69.10114821023849,4845763,3694380,76.23938686229599
2018-19,E92000001,England,E92000001,England,National,15190689,10921987,71.89922063442941,10215123,7129579,69.79435294122254,4975566,3792408,76.22063499911367
2019-20,E92000001,England,E92000001,England,National,15467216,11163675,72.17636968411122,10367918,7281502,70.2310917196683,5099298,3882173,76.13151849529092
2020-21,E92000001,England,E92000001,England,National,15654049,10992182,70.21941735329945,10427251,7089096,67.98624105241161,5226798,3903086,74.67451391846403
2021-22,E92000001,England,E92000001,England,National,15949645,11154009,69.93264740375099,10597953,7160733,67.56713301144099,5351692,3993276,74.61707437573014
2022-23,E92000001,England,E92000001,England,National,16238915,11156887,68.7046332836892,10806796,7113333,65.8227748538975,5432119,4043554,74.43787590073046
2021-22,E12000001,North East,E12000001,North East,Region,698667,515658,73.80597623760676,439816,319713,72.6924441129927,258851,195945,75.69798841804744
2021-22,E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,Region,1459047,1055498,72.34160380028882,945893,664618,70.26354989412121,513154,390880,76.17206530593155
2021-22,E12000002,North West,E12000002,North West,Region,2016499,1423519,70.59358819419201,1315821,906234,68.8721338236736,700678,517285,73.82635104855582
