CollectionYearRange,Parent_Org_ONS_Code,Parent_Org_Name,Org_ONS_Code,Org_Name,Org_Type,TOTAL_LETTERS,EDD_WITHIN_14_DAYS,EDD_IN_15_TO_21_DAYS,EDD_IN_AT_LEAST_22_DAYS
2022-23,E92000001,England,E92000001,England,National,3384958.0,2587876.0,395563.0,401519.0
2022-23,E12000001,North East,E12000001,North East,Region,154179.0,128179.0,13586.0,12414.0
2022-23,E12000003,Yorkshire and The Humber,E12000003,Yorkshire and The Humber,Region,320245.0,269895.0,25971.0,24379.0
2022-23,E12000002,North West,E12000002,North West,Region,425385.0,156026.0,142338.0,127021.0
2022-23,E12000004,East Midlands,E12000004,East Midlands,Region,287803.0,139240.0,41042.0,107521.0
2022-23,E12000005,West Midlands,E12000005,West Midlands,Region,345999.0,249427.0,61045.0,35527.0
2022-23,E12000006,East of England,E12000006,East of England,Region,401099.0,332249.0,21438.0,47412.0
2022-23,E12000007,London,E12000007,London,Region,611299.0,525868.0,58135.0,27296.0
2022-23,E12000008,South East,E12000008,South East,Region,355432.0,337216.0,9381.0,8835.0
2022-23,E12000009,South West,E12000009,South West,Region,479171.0,446729.0,22007.0,10435.0
2022-23,E12000001,North East,E06000047,County Durham,LA,30088.0,24854.0,2842.0,2392.0
2022-23,E12000001,North East,E06000005,Darlington,LA,6618.0,5456.0,608.0,554.0
2022-23,E12000001,North East,E08000037,Gateshead,LA,11523.0,9794.0,771.0,958.0
2022-23,E12000001,North East,E06000001,Hartlepool,LA,5450.0,4497.0,489.0,464.0
2022-23,E12000001,North East,E06000002,Middlesbrough,LA,8236.0,6718.0,781.0,737.0
2022-23,E12000001,North East,E08000021,Newcastle upon Tyne,LA,16750.0,13851.0,1547.0,1352.0
2022-23,E12000001,North East,E08000022,North Tyneside,LA,12517.0,10368.0,1212.0,937.0
2022-23,E12000001,North East,E06000057,Northumberland,LA,17560.0,14857.0,1390.0,1313.0
2022-23,E12000001,North East,E06000003,Redcar and Cleveland,LA,7633.0,6362.0,634.0,637.0
2022-23,E12000001,North East,E08000023,South Tyneside,LA,8595.0,7259.0,634.0,702.0
2022-23,E12000001,North East,E06000004,Stockton-on-Tees,LA,12330.0,10300.0,1060.0,970.0
2022-23,E12000001,North East,E08000024,Sunderland,LA,16879.0,13863.0,1618.0,1398.0
2022-23,E12000003,Yorkshire and The Humber,E08000016,Barnsley,LA,14207.0,12023.0,1103.0,1081.0
2022-23,E12000003,Yorkshire and The Humber,E08000032,Bradford,LA,30404.0,26048.0,2345.0,2011.0
2022-23,E12000003,Yorkshire and The Humber,E08000033,Calderdale,LA,12604.0,10496.0,1112.0,996.0
2022-23,E12000003,Yorkshire and The Humber,E08000017,Doncaster,LA,18446.0,15402.0,1581.0,1463.0
2022-23,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,LA,19032.0,16184.0,1520.0,1328.0
2022-23,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",LA,15437.0,12752.0,1417.0,1268.0
2022-23,E12000003,Yorkshire and The Humber,E08000034,Kirklees,LA,25864.0,21850.0,2015.0,1999.0
2022-23,E12000003,Yorkshire and The Humber,E08000035,Leeds,LA,50386.0,42353.0,4015.0,4018.0
2022-23,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,LA,9303.0,7697.0,766.0,840.0
2022-23,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,LA,8731.0,7169.0,829.0,733.0
2022-23,E12000003,Yorkshire and The Humber,E10000023,North Yorkshire,LA,35282.0,29771.0,2866.0,2645.0
2022-23,E12000003,Yorkshire and The Humber,E08000018,Rotherham,LA,15610.0,13137.0,1329.0,1144.0
2022-23,E12000003,Yorkshire and The Humber,E08000019,Sheffield,LA,31762.0,26977.0,2517.0,2268.0
2022-23,E12000003,Yorkshire and The Humber,E08000036,Wakefield,LA,21929.0,18281.0,1825.0,1823.0
2022-23,E12000003,Yorkshire and The Humber,E06000014,York,LA,11248.0,9755.0,731.0,762.0
2022-23,E12000002,North West,E06000008,Blackburn with Darwen,LA,7906.0,3123.0,2548.0,2235.0
2022-23,E12000002,North West,E06000009,Blackpool,LA,7224.0,2635.0,2320.0,2269.0
2022-23,E12000002,North West,E08000001,Bolton,LA,15838.0,5799.0,5540.0,4499.0
2022-23,E12000002,North West,E08000002,Bury,LA,10939.0,4096.0,3655.0,3188.0
2022-23,E12000002,North West,E06000049,Cheshire East,LA,23881.0,9237.0,8008.0,6636.0
2022-23,E12000002,North West,E06000050,Cheshire West and Chester,LA,21037.0,8019.0,6827.0,6191.0
2022-23,E12000002,North West,E10000006,Cumbria,LA,26610.0,8962.0,9855.0,7793.0
2022-23,E12000002,North West,E06000006,Halton,LA,7396.0,2075.0,2716.0,2605.0
2022-23,E12000002,North West,E08000011,Knowsley,LA,9786.0,2981.0,3462.0,3343.0
2022-23,E12000002,North West,E10000017,Lancashire,LA,67857.0,25614.0,22527.0,19716.0
2022-23,E12000002,North West,E08000012,Liverpool,LA,27962.0,8736.0,9734.0,9492.0
2022-23,E12000002,North West,E08000003,Manchester,LA,33145.0,12572.0,10401.0,10172.0
2022-23,E12000002,North West,E08000004,Oldham,LA,13687.0,5165.0,4584.0,3938.0
2022-23,E12000002,North West,E08000005,Rochdale,LA,12847.0,4899.0,4106.0,3842.0
2022-23,E12000002,North West,E08000006,Salford,LA,16337.0,6142.0,5104.0,5091.0
2022-23,E12000002,North West,E08000014,Sefton,LA,14882.0,5182.0,5038.0,4662.0
2022-23,E12000002,North West,E08000013,St. Helens,LA,10626.0,3468.0,3715.0,3443.0
2022-23,E12000002,North West,E08000007,Stockport,LA,18859.0,8024.0,5886.0,4949.0
2022-23,E12000002,North West,E08000008,Tameside,LA,12786.0,4779.0,4114.0,3893.0
2022-23,E12000002,North West,E08000009,Trafford,LA,15173.0,6233.0,4986.0,3954.0
2022-23,E12000002,North West,E06000007,Warrington,LA,13317.0,4761.0,4674.0,3882.0
2022-23,E12000002,North West,E08000010,Wigan,LA,18926.0,6513.0,6639.0,5774.0
2022-23,E12000002,North West,E08000015,Wirral,LA,18364.0,7011.0,5899.0,5454.0
2022-23,E12000004,East Midlands,E06000015,Derby,LA,14752.0,7557.0,1993.0,5202.0
2022-23,E12000004,East Midlands,E10000007,Derbyshire,LA,47704.0,23020.0,7150.0,17534.0
2022-23,E12000004,East Midlands,E06000016,Leicester,LA,20620.0,9936.0,2795.0,7889.0
2022-23,E12000004,East Midlands,E10000018,Leicestershire,LA,43361.0,19998.0,6399.0,16964.0
2022-23,E12000004,East Midlands,E10000019,Lincolnshire,LA,43183.0,20207.0,6507.0,16469.0
2022-23,E12000004,East Midlands,E06000061,North Northamptonshire,LA,22405.0,10355.0,3135.0,8915.0
2022-23,E12000004,East Midlands,E06000018,Nottingham,LA,17757.0,8157.0,2539.0,7061.0
2022-23,E12000004,East Midlands,E10000024,Nottinghamshire,LA,49786.0,26583.0,6607.0,16596.0
2022-23,E12000004,East Midlands,E06000017,Rutland,LA,2133.0,938.0,310.0,885.0
2022-23,E12000004,East Midlands,E06000062,West Northamptonshire,LA,26102.0,12489.0,3607.0,10006.0
2022-23,E12000005,West Midlands,E08000025,Birmingham,LA,65840.0,47830.0,11998.0,6012.0
2022-23,E12000005,West Midlands,E08000026,Coventry,LA,20345.0,14780.0,3822.0,1743.0
2022-23,E12000005,West Midlands,E08000027,Dudley,LA,17592.0,12885.0,3152.0,1555.0
2022-23,E12000005,West Midlands,E06000019,"Herefordshire, County of",LA,9737.0,6910.0,1844.0,983.0
2022-23,E12000005,West Midlands,E08000028,Sandwell,LA,19993.0,14479.0,3634.0,1880.0
2022-23,E12000005,West Midlands,E06000051,Shropshire,LA,17666.0,13026.0,3010.0,1630.0
2022-23,E12000005,West Midlands,E08000029,Solihull,LA,13384.0,10030.0,2252.0,1102.0
2022-23,E12000005,West Midlands,E10000028,Staffordshire,LA,50350.0,32437.0,8594.0,9319.0
2022-23,E12000005,West Midlands,E06000021,Stoke-on-Trent,LA,14803.0,10520.0,2831.0,1452.0
2022-23,E12000005,West Midlands,E06000020,Telford and Wrekin,LA,11466.0,8369.0,2104.0,993.0
2022-23,E12000005,West Midlands,E08000030,Walsall,LA,16887.0,12768.0,2756.0,1363.0
2022-23,E12000005,West Midlands,E10000031,Warwickshire,LA,36698.0,27139.0,6371.0,3188.0
2022-23,E12000005,West Midlands,E08000031,Wolverhampton,LA,16393.0,12460.0,2614.0,1319.0
2022-23,E12000005,West Midlands,E10000034,Worcestershire,LA,34845.0,25794.0,6063.0,2988.0
2022-23,E12000006,East of England,E06000055,Bedford,LA,11001.0,8806.0,687.0,1508.0
2022-23,E12000006,East of England,E10000003,Cambridgeshire,LA,40934.0,34523.0,1717.0,4694.0
2022-23,E12000006,East of England,E06000056,Central Bedfordshire,LA,19119.0,15980.0,978.0,2161.0
2022-23,E12000006,East of England,E10000012,Essex,LA,91997.0,75032.0,5582.0,11383.0
2022-23,E12000006,East of England,E10000015,Hertfordshire,LA,75989.0,63248.0,4447.0,8294.0
2022-23,E12000006,East of England,E06000032,Luton,LA,12360.0,10389.0,547.0,1424.0
2022-23,E12000006,East of England,E06000042,Milton Keynes,LA,19123.0,15650.0,1104.0,2369.0
2022-23,E12000006,East of England,E10000020,Norfolk,LA,51202.0,43839.0,2063.0,5300.0
2022-23,E12000006,East of England,E06000031,Peterborough,LA,13027.0,10472.0,725.0,1830.0
2022-23,E12000006,East of England,E06000033,Southend-on-Sea,LA,11208.0,9098.0,610.0,1500.0
2022-23,E12000006,East of England,E10000029,Suffolk,LA,43355.0,36054.0,2007.0,5294.0
2022-23,E12000006,East of England,E06000034,Thurrock,LA,11784.0,9158.0,971.0,1655.0
2022-23,E12000007,London,E09000002,Barking and Dagenham,LA,14348.0,12692.0,1134.0,522.0
